"source","entry","year"
"alabama","Birmingham: Confederacy Rock, University of Alabama, (1914) by UDC Alabama Division, to commemorate University of Alabama students who served in the Confederate Army. The Board of Trustees of The University of Alabama ordered the Rock and its plaques removed on June 15, 2020.[33][34]",1914
"alabama","Munford: A. J. Buttram Monument (1914) by UDC, John Tyler Morgan Chapter[56]",1914
"alabama","Tuscaloosa: University of Alabama Civil War Memorial, South entrance of the University of Alabama's Amelia Gayle Gorgas Library (1914) by UDC, Alabama Division[76]",1914
"alabama","UDC monument (1916) to Prattville Dragoons, on grounds of Prattville Primary School[62]",1916
"alabama","Memorial boulder marking The Selma Ordnance and Naval Foundry ""destroyed by the Federals 1865,"" placed ""in honor of the memory of hundreds of faithful men who made these great works a base for war material for the entire Confederate Army and Navy."" (1917) Alabama Division United Daughters of Confederacy.[66]",1917
"alabama","Athens: Limestone County Confederate Soldiers Memorial, Limestone County Courthouse (1922) by United Confederate Veterans (UCV) and UDC.[16]",1922
"alabama","Decatur: Confederate Monument, near Morgan County Courthouse (1922) by UDC, Joe Wheeler Chapter No. 291.[22]",1922
"alabama","Alabama Coat of Arms (1923) and the State Seal include the Confederate Battle Flag.",1923
"alabama","Ashville: Confederate Soldiers of Ashville Monument, St. Clair County Courthouse (1923) by United Daughters of the Confederacy, (UDC) Ashville Chapter.[15]",1923
"alabama","Beauregard High School (1923)",1923
"alabama","Forrest Confederate Monument (1923) by UDC[82]",1923
"alabama","Carrollton: Confederate War Memorial, Pickens County Courthouse (1927).[18]",1927
"alabama","Fayette: Confederate Monument, Fayette County Courthouse (1929) by UDC, Fayette Chapter.[23]",1929
"alabama","Lowndesboro: Our Confederate Soldiers Monument (1929) by the Lowndesboro Chapter of UDC of Lowndes County, Alabama.",1929
"alabama","""Arsenal Place"" memorial (1931), marking the site of the Confederate ordnance works ""destroyed by the Union Army April 6, 1865""",1931
"alabama","Butler: Confederate Monument, Choctaw County Courthouse (1936) by UDC, Choctaw Ruffin Dragoon Chapter.[17]",1936
"alabama","Headland: Henry County Confederate Memorial (1936) by UDC, Headland Chapter No. 1673[45]",1936
"alabama","Confederate Fortification Monument (1940), Mobile National Cemetery[53]",1940
"alabama","Jefferson Davis (1940), by UDC[10]",1940
"alabama","The Edmund Pettus Bridge (1940), on US Route 80, is named for Edmund Pettus, Confederate General and Alabama Grand Dragon of the KKK.[64] This is the beginning of the Selma to Montgomery National Historic Trail (1996), commemorating the Selma to Montgomery civil rights marches of 1965.",1940
"alabama","Breastworks Confederate Memorial (1941)",1941
"alabama","UDC monument (1942) on Dexter Avenue: ""Along this street moved the inaugural parade of Jefferson Davis when he took the oath of office as President of the Confederate States of America February 18, 1861. Dixie was played as a band arrangement for the first time on this occasion.""[54]",1942
"alabama","Rogersville: Joe Wheeler State Park (1949) beside Wheeler Lake and Wheeler Dam all named for Confederate General and U.S. Congressman Joseph Wheeler",1949
"alabama","Huntsville: Lee High School (1957), home to the Lee Generals[93]",1957
"alabama","Confederate Memorial Marker at corner of Hwy 82 and Main Street in honour of Midway Guards prior drill grounds erected by UDC (1960)[50]",1960
"alabama","Jefferson Davis High School (1968)",1968
"alabama","Hamilton: Confederate Veterans Bicentennial Memorial (1977)",1977
"alabama","Tuscaloosa County: UDC monument (1977) at Tannehill Ironworks, where Confederate munitions and iron were manufactured[77]",1977
"alabama","Centre: Confederate Memorial, Cherokee County Courthouse (1988) by SCV, Emma Sansom Camp No. 27.[19]",1988
"alabama","Turkey Town Monument (1992) by SCV, Turkey Town Valley Camp #1512[43]",1992
"alabama","The Edmund Pettus Bridge (1940), on US Route 80, is named for Edmund Pettus, Confederate General and Alabama Grand Dragon of the KKK.[64] This is the beginning of the Selma to Montgomery National Historic Trail (1996), commemorating the Selma to Montgomery civil rights marches of 1965.",1996
"alabama","The Nathan Bedford Forrest Bust Monument (2000). Built partly with city funds, sponsored by Friends of Forrest and UDC. It was first located at the Vaughan-Smitherman Museum, but during protest over Forrest's KKK links trash was dumped on it[67] and it was damaged during an apparent attempt to remove the bust from its foundation. It was then moved to the Cemetery's Confederate Circle. The bust was then stolen in 2012[68] and has not been recovered, despite a $20,000 reward; the present bust is a replacement.[69] The base is inscribed, under a Confederate flag: ""Defender of Selma, Wizard of the Saddle, untutored genius, the first with the most. This monument stands as testament of our perpetual devotion and respect to Lt. Gen. Nathan Bedford Forrest, C.S.A., 1821-1877, one of the South's finest heroes. In honor of Gen. Forrest's unwavering defense of Selma, the great state of Alabama, and the Confederacy, this memorial is dedicated. Deo vindice.""[70][71]",2000
"alabama","Beauregard Elementary School (2001) new campus on Lee County Rd 300 constructed, previously shared location with high school[94]",2001
"alabama","Ohatchee: Calhoun County Confederate Memorial (2003) at Janney Furnace Park, ""the world's largest black granite Confederate Memorial""[59][60]",2003
"alabama","Moulton: Confederate Monument, Lawrence County Courthouse (2006) by SCV, Lt. J. K. McBride Camp No. 241 and the Alabama Division.[29]",2006
"alabama","Rogersville: CSA Gen. Joseph Wheeler Monument, Joe Wheeler State Park (2006) by SCV, Freeman's Battery Forrest's Artillery Camp No. 1939[63]",2006
"alabama","Blakeley: UDC monument (2010) at Historic Blakeley State Park dedicated to Confederate soldiers and sailors who served at Fort Blakeley[35]",2010
"georgia","Blakely: Confederate Flagpole, Early County Courthouse (1861)[15]",1861
"georgia","Peachtree Battle Avenue Monument (1935), a stone-engraved memorial commemorating the Battle of Peachtree Creek (1864). Because state law prohibits its removal, a panel was added in 2019 saying: ""[The monument] describes the United States after the civil war as a perfected nation. This ignores the segregation and disenfranchisement of African Americans and others that still existed in 1935.""[12]",1864
"georgia","Athens: Athens Confederate Monument (1872)[38]",1872
"georgia","Confederate Reunion Memorial, along city sidewalk (1874).[98]",1874
"georgia","Silence, city-owned Laurel Grove Cemetery (1875).[94]",1875
"georgia","Confederate Monument, Forsyth Park (1879) (To be officially renamed ""Civil War Monument"" in 2018)[91][93]",1879
"georgia","Confederate Monument, city street median (1879).[56]",1879
"georgia","Macon: Bibb County Confederate Monument, triangle park downtown (1879).[81] Moved to present location in 1956.Confederate Monument in Macon, GA, c. 1870s",1879
"georgia","Sparta: Hancock County Confederate Monument (1881)",1881
"georgia","Crawfordville: Alexander H. Stephens statue (1893), A. H. Stephens Historic Park, Crawfordville[59]",1893
"georgia","Crawfordville: Confederate Monument (1898)",1898
"georgia","Elbert County Confederate Memorial (1898), Elberton Town Plaza[70]",1898
"georgia","Greensboro: Greene County Confederate Monument (1898)",1898
"georgia","Americus: Confederate Monument (1900)",1900
"georgia","""General"" (1901), monument erected at the location where Confederate locomotive The General—stolen by Union Army soldiers in 1862—was finally stopped following the Great Locomotive Chase[90]",1901
"georgia","Athens: Allen D. Candler Hall at the University of Georgia (1901)[14]",1901
"georgia","Colonel Francis S. Bartow Bust, Forsyth Park (1902).[91][92]",1902
"georgia","General Lafayette McLaws Bust, Forsyth Park (1902).[92]",1902
"georgia","LaGrange: Monument to the Confederate Soldier, median (1902).[79]",1902
"georgia","Warrenton: Warren County Confederate Monument, county courthouse (1904)[32]",1904
"georgia","Cedartown: Polk County Confederate Monument (1906)",1906
"georgia","Covington: Confederate War Memorial (1906)",1906
"georgia","Statesboro: Confederate Memorial, Bulloch County Courthouse (1906)[25]",1906
"georgia","Forsyth: Confederate Monument (1907)",1907
"georgia","Monroe: Confederate Monument (1907)",1907
"georgia","Statue of John Brown Gordon, Georgia State Capitol grounds (1907). ""One of the leading proponents of both the New South creed and the Lost Cause, a philosophy that greatly romanticized the South's role in the war. Moreover, he is generally acknowledged as having been the head of the Ku Klux Klan in Georgia.",1907
"georgia","At Arms Rest Monument, Upson County Courthouse (1908)[26]",1908
"georgia","Eatonton: Eatonton Confederate Monument, median in front of the Putnam County Courthouse (1908).[67]",1908
"georgia","Hartwell: Confederate Monument (1908)",1908
"georgia","Hawkinsville: Confederate Monument (1908)",1908
"georgia","Lumpkin: Stewart County Confederate Monument (1908), included in Lumpkin Commercial Historic District[20]",1908
"georgia","Marietta: Confederate memorial (1908), Marietta Confederate Cemetery[83]",1908
"georgia","Perry: Houston County Confederate Monument (1908)",1908
"georgia","Vienna: Dooly County Confederate Monument, county courthouse (1908)[31]",1908
"georgia","""Old Joe"", Hall County Confederate Monument, town square (1909).[72]",1909
"georgia","Abbeville: Confederate Memorial Monument (1909)",1909
"georgia","Griffin: Confederate Monument, Veterans Memorial Plaza (1909).[73]",1909
"georgia","LaFayette: Walker County Confederate Monument, John B. Gordon Hall (1909).[77][78]",1909
"georgia","Madison: Morgan County Confederate Monument, Hill Park (1909).[82]",1909
"georgia","Millen: Jenkins County Confederate Monument, Jenkins County Courthouse (1909)",1909
"georgia","Moultrie: Colquitt County Confederate Monument, Colquitt County Courthouse (1909)",1909
"georgia","Nathan Bedford Forrest Monument (1909), UDC Monument[104]",1909
"georgia","Carnesville: Franklin County Confederate Monument (1910)",1910
"georgia","Carrollton: Confederate Monument (1910)",1910
"georgia","Cochran: Bleckley County Confederate Monument, old Cochran City School (1910).[54][55]",1910
"georgia","Cuthbert: Randolph County Confederate Monument, city park (1910).[60]",1910
"georgia","Eastman: Confederate Monument of Eastman (1910)",1910
"georgia","Ellaville: Schley County Confederate Monument (1910)",1910
"georgia","McDonough: Confederate Memorial, courthouse square (1910)[84]",1910
"georgia","Monticello: Jasper County Confederate Monument, City Square (1910).[87] ""To the Confederate soldiers of Jasper County, the record of whose sublime self sacrifice and undying devotion to duty, in the service of their country is the proud heritage of a local posterity.""[88]",1910
"georgia","Tifton: Tift County Confederate Memorial, Fulwood Park (1910), rededicated 1992.[97]",1910
"georgia","Waycross: Ware County Confederate, Phoenix Park (1910).[100]",1910
"georgia","Bibb County Courthouse and Confederate Monument in Macon, GA c.1870sMontezuma: Macon County Confederate Monument (1911).[86] ""The first Macon County monument is currently located in Fannie Carmichael Park and faces east. It is a soldier with both hands on his grounded rifle. There are lion heads on each side. It was erected by the Phil Cook Chapter of the UDC in January 1911. The monument was moved in 1965 from the middle of Dooly Street in the middle of Montezuma.""[19]",1911
"georgia","Butler: Taylor County Confederate Monument (1911)",1911
"georgia","Cordele: Crisp County Confederate Monument, community clubhouse (1911).[58]",1911
"georgia","Jackson: Monument to Butts County Confederate Soldiers (1911)",1911
"georgia","Jeffersonville: Confederate Memorial, across the street from the Twiggs County Courthouse (1911).[75]",1911
"georgia","Macon: ""Women of the South"" (1911), UDC monument featuring a young soldier receiving aid from a mother and young girl, as well as a bas-relief showing both a pre-war family, and one devastated by war. Moved from city hall to a nearby park in 1934.[21]",1911
"georgia","Ocilla: Irwin County Confederate Monument (1911)",1911
"georgia","Peace Monument (1911), Allen George Newman, sculptor, inside the 14th Street gate of Piedmont Park. Features a winged goddess declaring ""Cease Firing – Peace Is Proclaimed,"" to a Confederate soldier holding a rifle. Defaced by protestors after the Charlottesville Unite the Right rally, on August 13, 2017.[42] A committee set up by then-Mayor Kasim Reed in 2017 recommended it be removed.[43] Since state law prohibits removal, a ""contextual"" panel was added in 2019, stating that the monument ""excludes all African Americans, of which nearly 200,000 served in the U.S. Army"".[12][44]",1911
"georgia","Thomson: Monument to the Women of the Sixties, McDuffie County Chamber of Commerce (1911).[96]",1911
"georgia","Valdosta: Confederate memorial, Lowdnes County Courthouse (1911)[30]",1911
"georgia","Dublin: Laurens County Confederate Monument (1912)",1912
"georgia","Johnson statue (1912) in downtown Dalton. The UDC commissioned Belle Kinney to sculpt the bronze statue, in which Johnston is posed with ""an expression of deep thought, with his sword resting at his feet"". Kinney explained, ""General Johnston, in command of an army vastly inferior in numbers to General Sherman's army, had to use his brains more than his sword; hence I made the sword subservient to the brain.""[61]",1912
"georgia","Milledgeville: Confederate Memorial Fountain, downtown median, erected by United Daughters of the Confederacy (1912). 20 feet (6.1 m) fall. Originally across from Post Office and Courthouse; later moved to street in front of Georgia Military College. ""On the front is 'CSA' and the furled battle flag with a broken shaft. Under the lion's head is a covered bowl. The soldier is standing with a gun. His heroism in the presence of the conquering foe was equaled only by his generosity to his fallen enemy. Reading around the monument, starting in the back it reads: '1861'; To the memory of the Confederate soldier who's [sic] game is as imperishable as the everlasting hills, who's [sic] courage is as unrivaled. Sing the dawn of civilization who's [sic] name shines in undying glory to the pages of history this monument is lovingly erected by the Robert E. Lee Chapter Daughters of the Confederacy of Milledgeville, Georgia. Unconquerable patriotism and – self-sacrifice rendered, adopted the effort of his enemies. After his flag had folded forever, to destroy his proud inheritance.""[85]",1912
"georgia","Conyers: Confederate Monument (1913)",1913
"georgia","Douglasville: Confederate War Memorial (1914)",1914
"georgia","Sidney Lanier Monument (1914), a stele and bust honoring Sidney Lanier, a former Confederate soldier and the ""Poet of the Confederacy"".[45][46]",1914
"georgia","McDonough: Confederate Memorial Drinking Fountain (1915)",1915
"georgia","Lexington: Oglethorpe County Confederate Monument (1916)",1916
"georgia","Cobb County: Kennesaw Mountain National Battlefield Park, tribute to 14 generals from Georgia (1917)",1917
"georgia","First Cannon Ball Monument, Upson County Courthouse (1919)[27]",1919
"georgia","Irwin County: Jefferson Davis Memorial Historic Site (1920)",1920
"georgia","Toccoa: Stephens County Confederate Monument, county courthouse (1922)[29]",1922
"georgia","Canton: Confederate Memorial Arch, Brown Park (1923).[53]",1923
"georgia","Oglethorpe: Confederate Monument, Courthouse lawn (1923)[24]: 70  ""Erected by the Oglethorpe Chapter of the UDC in 1924. It consists of a block of Ga marble flanked by marble globes surmounted by a third globe (surrounded by a fence), sits near the courthouse, date on monument is February 20, 1993, but newspaper establishes date of dedication as April 26, 1924. Originally, it was built with a fountain near an old artesian well in the intersection of highway 49 and Sumpter Street and moved to the present site around 1935.""[19]",1923
"georgia","Springfield: Confederate Memorial, across from Effington County Courthouse (1923).[95]",1923
"georgia","Calhoun: Confederate Soldier and Memorial Arch (1927).[52]",1927
"georgia","Watkinsville: Confederate monument (1927); first erected in Watkinsville City Park[34]",1927
"georgia","Hinesville: Liberty County Confederate Monument, Liberty County Courthouse (1928)",1928
"georgia","Athens: Joseph E. Brown Hall at the University of Georgia (1932)[14]",1932
"georgia","Peachtree Battle Avenue Monument (1935), a stone-engraved memorial commemorating the Battle of Peachtree Creek (1864). Because state law prohibits its removal, a panel was added in 2019 saying: ""[The monument] describes the United States after the civil war as a perfected nation. This ignores the segregation and disenfranchisement of African Americans and others that still existed in 1935.""[12]",1935
"georgia","Confederate Wayside Home Monument, wide median (1936).[99]",1936
"georgia","Eatonton: Birthplace of Lucius Quintus Cincinnatus Lamar (1936)",1936
"georgia","Tyler Home – Ladies Aid Society Memorial, Veteran's Parkway (1936).[57][dubious – discuss]",1936
"georgia","Washington: The Dissolution of the Confederate Government/Last Meeting Stone, Wilkes County Courthouse (1938)[33]",1938
"georgia","Eternal Flame of the Confederacy Monument (1939), a pre-Civil War gas streetlamp that was part of the Atlanta premiere of the film Gone with the Wind, now at the Atlanta History Center. Its plaque reads:",1939
"georgia","Commerce: UDC monument (1941) in Spencer Park to women and veterans of the War Between the States. High school students sang Dixie at the dedication ceremony.[34]",1941
"georgia","Marker for Confederate Hospitals, on Courthouse Square (1955). Text: ""In Newnan between 1862 and 1865 were seven Confederate hospitals — Bragg, Buckner, ""College Temple"", ""Coweta House,"" Foard, Gamble and Pinson's Springs. More than 10,000 Confederate sick and wounded and about 200 Federal soldiers wounded in the Battle of Brown's Mill were cared for in these hospitals and in private homes. The hospitals were directed and supervised by Samuel H. Stout, Army Medical Director Department of Tennessee. Loyal men and women of the county rendered valuable aid.""[23]",1955
"georgia","Newnan: Stone monument to William Thomas Overby, called ""Nathan Hale"" of the Confederacy (1956). Erected 1956 by Alfred Colquitt and Newnan Chapters UDC. ""[89]",1956
"georgia","Catoosa County: monument (1977) to Confederate Gen. Bushrod Johnson, located within Chickamauga and Chattanooga National Military Park.[105]",1977
"georgia","Thomson: McDuffie and Columbia Counties Confederate Monument, McDuffie County Courthouse (1986)[28]",1986
"georgia","Lawrenceville: Lawrenceville Confederate Memorial (1990)",1990
"georgia","Mount Vernon: Confederate Monument, Montgomery County Courthouse (1997)",1997
"georgia","Franklin: Heard County Confederate Monument, Veterans Park (1999).[71]",1999
"georgia","Flag of Georgia since 2003The current (2024) Georgia flag is based on the first national flag of the Confederacy, which was nicknamed the ""Stars and Bars"".[7]",2024
"mississippi","Lee County (1866)",1866
"mississippi","Benton County (1870) named for CSA Brig. Gen. Samuel Benton who was also a politician that attended the Mississippi secessionist convention.",1870
"mississippi","Liberty: Confederate Monument (1871), the first Confederate monument in Mississippi.[26]",1871
"mississippi","Monument to Confederate Dead (1873), Friendship Cemetery[22]",1873
"mississippi","Natchez: Confederate Monument (1890)",1890
"mississippi","Cedar Hill Cemetery: Soldiers' Rest Confederate Monument (1893), where an estimated 5,000 Confederate soldiers are buried.[32]",1893
"mississippi","Canton: Howcott Monument to Loyal Servants of the Harvey Scouts (1894)",1894
"mississippi","Confederate Monument (1894), Friendship Cemetery[21]",1894
"mississippi","Aberdeen: Confederate Monument in Old Aberdeen Cemetery (1900)",1900
"mississippi","Port Gibson: Confederate Monument (1900)[14]",1900
"mississippi","Macon: Confederate Memorial Monument (1901)",1901
"mississippi","Fayette: Confederate Soldier Sculpture (1904)",1904
"mississippi","Beulah: Confederate Monument (1905), Beulah Cemetery[16]",1905
"mississippi","Carrollton: Confederate Monument and flag, Carroll County Courthouse (1905)[8][9]",1905
"mississippi","Okolona: Our Confederate Dead (1905)",1905
"mississippi","Confederate Cemetery Memorial (1906)[44]",1906
"mississippi","Jefferson Davis County (1906)",1906
"mississippi","Port Gibson: Claiborne County's Tribute to Her Sons Who Served in the War of 1861–65. (1906)",1906
"mississippi","Brandon: Rankin County Confederate Monument (1907)[7]",1907
"mississippi","Confederate Monument (1907)[36]",1907
"mississippi","Oxford: ""Oxford is one of the few small Southern towns with two Confederate monuments. It was a compromise between two factions of the United Daughters of the Confederacy, one group wanting the statue placed on Courthouse Square, the other arguing that it should be on the campus of the University of Mississippi.""[12]Confederate Monument (1907). Artist: John A. Stinson. Figure of Confederate soldier at parade rest, facing south. Furled Confederate flag.[13]",1907
"mississippi","Cleveland: Confederate Monument (1908) by the Bolivar Troop Chapter of UDC, Bolivar County",1908
"mississippi","Duck Hill: Confederate Soldiers Monument (1908)",1908
"mississippi","Forrest County (1908)",1908
"mississippi","Lexington: Confederate Monument (1908)",1908
"mississippi","Raymond: Confederate Monument (1908)",1908
"mississippi","Greenville: Confederate Monument (1909), erected by United Daughters of the Confederacy. One face: ""For those who encountered the perils of war in the defense of the sacred cause of states rights and constitutional government. // Jefferson Davis."" Another side: ""The sublimest word in the English language is duty. // Robert E. Lee // No brave battle for truth and right was ever fought in vain. // Randolph H. M'Kim."" Another side: ""It is due the truth of history that the fundamental principles for which our fathers contended should be often reiterated in order that the purpose which inspired them may be correctly estimated and the purity of their motives be abundantly vindicated. // Charles B. Galloway""",1909
"mississippi","Vicksburg National Military Park: Lt. Gen. Stephen D. Lee statue (1909).[34]",1909
"mississippi","Winona: Confederate Memorial Statue (1909)",1909
"mississippi","Grenada: Confederate Monument (1910) in Public Square[24]",1910
"mississippi","Hattiesburg: Confederate Memorial (1910) by UDC",1910
"mississippi","Hattiesburg: Forrest County Confederate Memorial (1910)",1910
"mississippi","Brooksville: Our Heroes Monument (1911)",1911
"mississippi","Gulfport: Confederate Monument (1911)",1911
"mississippi","Heidelberg: Confederate Statue (1911)",1911
"mississippi","Kosciusko: Attala County Courthouse and Confederate Monument (1911)",1911
"mississippi","Quitman: Clarke County Courthouse and Confederate Monument (1911)",1911
"mississippi","Columbus: Lowndes County Confederate Monument (1912)",1912
"mississippi","Laurel: Confederate Memorial (1912)",1912
"mississippi","Meridian: Confederate Monument (1912)",1912
"mississippi","Philadelphia: Confederate Monument (1912)",1912
"mississippi","Vaiden: Vaiden Confederate Monument (1912)",1912
"mississippi","Greenwood: Confederate Monument (1913)",1913
"mississippi","Sumner: Confederate Monument (1913)",1913
"mississippi","Greenwood: Confederate Memorial Building (1915)[23]",1915
"mississippi","Forrest County Agricultural High School (1916)",1916
"mississippi","Hazlehurst: Confederate Monument (1917)",1917
"mississippi","Women of the Confederacy Monument (1917), on south side of Capitol grounds. Cost was $20,000, sculpted by Belle Marshall Kinney. ""The monument features two female figures and one male figure, a wounded and dying soldier. To the left of the soldier, a sympathetic woman is presenting a palm of glory to the soldier, a symbol of triumph even in death. Above both the soldier and the woman stands 'Fame'. She, in turn, is placing a wreath on the head of the woman in recognition of her contribution to the Confederate cause. Below the bronze figures are four inscriptions facing each direction, and dedicated to 'our' mothers, daughters, sisters and wives. On the southern face, which is the front of the monument, is a quote from Jefferson Davis which, among other virtues, praises the women 'whose pious ministrations to our wounded soldiers soothed the last hours of those who died far from the objects of their tenderest love.'""[5]",1917
"mississippi","Louisville: Confederate Monument (1921)",1921
"mississippi","Jackson: The School Board has announced the following elementary schools will be renamed before the 2018–2019 school year:[42]Lee Elementary School (1922)[1] -now Shirley Elementary School.",1922
"mississippi","Amory: Amory's Tribute to the Heroes of 1861–1865 (1924)",1924
"mississippi","Clinton: Confederate Monument (1928), Clinton Cemetery[20]",1928
"mississippi","Jeff Davis Elementary School (1959)",1959
"mississippi","South Forrest Attendance Center (1960)",1960
"mississippi","Vicksburg National Military Park: Texas Monument (1961), listing all Texas units on the Vicksburg defensive line, in Walker's Texas Division, and in Joseph E. Johnston's Army.[35]",1961
"mississippi","Lamar Hall (1977) memorializes Lucius Q. C. Lamar, a slaveholder who drafted the Mississippi's order of secession and funded his own CSA regiment. Post-war, he agitated for white supremacy, such as a speech before the 1875 election which he said ""involved the supremacy of the unconquered and unconquerable Saxon race,""[40]",1977
"mississippi","Oxford: Lamar Hall (1977) at University of Mississippi see schools below",1977
"mississippi","Corinth: Corinth Confederate Memorial (1992)",1992
"mississippi","The Battle of Ellis Bridge Monument (1994)[37]",1994
